,name,gross_profit_rate201501,gross_profit_rate201502,gross_profit_rate201503,gross_profit_rate201504,gross_profit_rate201601,gross_profit_rate201602,gross_profit_rate201603,gross_profit_rate201604,gross_profit_rate201701,gross_profit_rate201702,gross_profit_rate201703,gross_profit_rate201704,gross_profit_rate201801,gross_profit_rate201802,gross_profit_rate201803,gross_profit_rate201804,gross_profit_rate201901,gross_profit_rate201902,gross_profit_rate201903,gross_profit_rate201904,gross_profit_rate202001,gross_profit_rate202002,gross_profit_rate202003
0,平安银行,36.0263,32.7794,32.7538,30.0479,29.1079,29.4984,29.9446,27.6461,29.6911,30.4551,31.3154,28.5699,30.6287,30.4013,30.7094,68.6932,29.7666,69.6472,29.8306,69.453,70.9962,71.6857,24.813
1,万科A,34.0017,30.4495,29.058000000000003,29.3525,31.781,26.3089,26.5271,29.4144,29.8041,32.6533,31.731,34.0956,34.172,34.4372,34.7626,37.4816,35.044000000000004,36.2453,35.9903,36.2451,31.2754,31.8089,29.9372
2,国华网安,45.0455,35.9537,35.8689,35.2808,22.7982,27.8297,30.4974,34.6221,17.1983,24.682,50.3757,61.9412,79.8477,81.9358,82.4253,81.8792,76.6223,75.9448,75.5123,73.0102,83.0721,75.8113,82.3844
3,深振业A,33.2582,33.7362,35.6758,34.6431,44.3141,42.578,41.3406,29.1261,22.6901,28.1929,30.4757,29.7145,22.965,38.992,38.9828,38.7866,39.268,39.8074,40.8421,45.2121,47.8154,45.1503,44.6791
4,全新好,81.3477,81.2327,79.3633,78.1343,70.102,69.7917,70.1375,66.1915,80.2736,69.3515,66.6815,68.9534,79.1646,73.3189,70.7013,69.374,67.1958,70.6718,69.3364,68.661,68.3681,70.4983,70.4095
5,神州高铁,45.5088,43.898,46.4293,47.4828,47.8978,48.8144,50.8344,52.7716,39.2168,46.2732,50.0623,48.8964,57.7922,51.1164,48.5656,48.9184,53.0718,54.4951,53.3046,48.6367,42.3658,29.109,35.6383
6,美丽生态,15.6561,14.4639,15.4661,20.9135,26.8444,27.9383,28.2398,27.5515,22.3979,25.9129,29.6699,5.0673,9.1576,5.4549,7.9531,13.2006,28.9853,28.7395,24.4019,23.7454,18.6015,19.8851,23.61
7,深物业A,28.4542,41.2406,35.9988,39.8031,22.2232,20.7091,19.7387,57.6276,74.7318,62.1469,46.4679,43.9573,14.4813,16.4636,24.1665,52.8139,48.8517,49.4342,46.8854,63.8128,61.5892,56.9556,50.2022
8,南玻A,20.7983,20.3735,20.4905,21.6138,26.2952,27.2304,27.4772,26.8759,23.6715,24.4082,25.1808,24.4778,24.5775,25.0709,24.0308,23.4636,23.0557,24.8937,25.5856,26.0589,29.4604,28.5848,30.3494
9,沙河股份,39.7256,30.2371,31.6122,42.5992,27.5343,19.8608,18.3467,20.9055,12.5821,14.8649,15.4971,19.3196,24.9245,26.7378,26.4797,29.508000000000006,29.3053,27.4352,27.75,29.7654,29.529,42.7332,42.6988
11,深康佳A,15.4787,12.8944,12.3153,12.719,19.0826,16.6261,14.1346,13.7,14.1512,11.3605,10.5664,11.0119,8.0845,6.7128,5.7058,6.2852,5.7213,5.2327,4.9897,5.4082,7.2605,7.1626,6.4649
13,*ST中华A,7.3057,8.5505,7.4743,6.7786,8.0361,8.2902,9.6304,11.0778,11.3023,6.6287,7.0256,9.7921,7.7507,9.7006,10.1647,9.8706,7.6968,7.6942,8.5955,9.6566,3.9874,15.3684,15.1207
14,深粮控股,15.2448,35.3696,29.9192,26.8404,21.0804,21.63,20.5868,25.1423,23.0482,24.4339,23.74,22.126,25.3085,28.2171,27.0591,9.9003,10.1795,10.8751,10.5786,9.9881,14.6943,10.9911,10.0841
15,深华发A,14.5047,16.5924,16.1163,16.3087,14.7331,14.6186,13.1092,13.6362,9.9988,9.2305,9.1244,9.3391,11.0076,11.262,10.0923,11.044,13.8609,12.2674,11.2777,12.0649,16.0912,12.2193,12.8005
17,深科技,4.1009,3.8446,3.9616,4.3295,5.0788,5.1866,5.3655,5.6719,6.1381,5.9220000000000015,6.2176,6.3978,4.7067,3.9596,3.9822,4.7006,5.9738,8.2705,8.6557,9.5303,9.7369,12.3706,11.962
18,特力A,22.4374,26.2173,26.7377,28.2275,26.2272,28.2059,28.2598,29.3603,24.9537,26.6854,26.4235,26.7777,20.6339,22.3359,22.5471,19.7691,23.7578,24.3559,24.0393,24.5243,13.5344,21.4549,21.3952
19,飞亚达,37.009,38.3546,38.9994,38.9818,40.507,40.4091,40.9274,40.7852,40.1592,41.1406,41.2571,40.6227,41.4194,42.4299,42.207,41.3663,40.3623,41.0934,40.9991,40.1436,39.7509,38.2087,38.1657
20,深圳能源,27.4554,30.0904,31.7747,29.9481,25.9372,32.3848,31.9262,28.9318,21.8352,24.271,25.3997,27.4778,19.0632,22.5257,22.1314,26.6282,28.1369,35.6924,34.176,31.0781,26.7217,29.9296,32.4692
21,国药一致,8.533,7.8988,7.6916,7.7755,7.5685,7.4424,7.1706,11.1524,10.4129,10.5276,10.429,10.77,10.9028,11.6055,11.4875,11.8228,10.9595,11.1488,10.8214,11.0544,11.3319,11.7737,11.5111
22,富奥股份,18.8493,18.1987,18.2776,18.4,18.0935,17.5638,17.3106,18.6089,17.8837,18.4375,18.9671,18.5146,14.8168,15.5913,15.2335,15.5321,13.1228,14.3718,13.9749,13.9792,12.157,14.9685,15.1665
26,大悦城,33.8749,19.4503,23.2983,26.4471,35.7825,32.5534,26.0698,34.2643,52.7705,33.8075,36.2369,36.3265,48.0431,46.0527,42.0465,42.5069,54.5939,49.5075,48.4067,41.2015,43.6763,44.9171,43.7796
27,深桑达A,11.5139,13.4012,13.6094,14.4151,11.7277,12.827,12.9057,13.9666,19.4919,17.6498,18.3605,18.1163,20.1689,20.0543,20.513,22.1546,20.2904,22.166,22.2484,24.5368,16.4553,18.8204,22.5781
28,神州数码,9.8357,10.018,10.3232,10.6973,11.3398,5.608,5.3178,4.8774,5.5802,5.2796,5.0825,4.7016,4.6462,4.7475,4.4536,4.0271,3.6755,3.9163,3.9282,4.0168,4.4976,4.0153,3.9955
29,中国天楹,61.2572,57.3292,54.6085,49.4771,55.4643,52.4942,50.5626,44.8436,41.9017,41.8019,40.4618,38.4136,31.2472,32.3764,36.1248,36.3827,13.6332,14.6573,14.128,15.2443,13.4395,14.9213,14.309
30,华联控股,45.8828,47.1206,47.8213,63.7909,47.2379,48.726000000000006,46.2498,71.7344,71.4131,69.1477,68.7997,68.2246,71.9208,72.0802,73.7026,72.1157,76.0107,75.3088,75.1761,72.7761,66.3338,67.0963,65.2306
31,深大通,16.0526,19.1806,20.9096,24.0475,45.2704,42.0062,33.6501,40.0779,33.1585,34.0798,35.1478,33.7875,12.252,13.4282,16.4107,7.4661,6.0566,6.5489,6.568,8.182,15.8294,13.831,10.8894
32,中集集团,14.9186,15.6815,16.594,18.0701,19.9478,18.7588,18.8555,18.8404,18.3325,18.407,18.3798,18.3581,13.1992,13.7916,14.9101,14.8787,13.4792,13.5085,13.6939,14.5192,10.5406,12.8464,13.664
33,东旭蓝天,37.738,40.0588,41.8652,33.1637,23.939,24.3155,19.8689,16.5999,17.14,13.9057,16.5673,16.3567,21.4222,18.0841,17.7678,14.1142,10.3184,10.0058,11.3159,12.8633,19.6804,19.0187,16.1954
34,中洲控股,53.6295,52.1135,43.2928,39.8735,20.7974,25.03,26.7268,29.2134,23.3655,25.178,26.4021,36.2794,51.9476,44.6667,45.894,47.0812,57.9701,53.7477,50.2665,39.9645,21.401,21.3304,20.1123
35,深纺织A,4.0807,5.2908,5.8412,6.8666,8.9838,7.4087,6.2315,5.8476,6.945,8.3481,10.0276,11.9239,8.9898,10.9922,8.17,10.2256,6.7452,6.7676,7.206,8.5576,7.4856,11.1414,12.8455
36,泛海控股,55.6971,57.9838,61.092,48.1616,37.3205,45.1619,44.2822,41.4953,36.4726,38.9647,33.1533,38.1337,42.2162,53.5416,55.1891,50.4303,38.0062,39.6315,47.6559,48.2793,39.8049,36.1353,33.6818
37,京基智农,20.9831,37.5004,33.109,31.4215,21.6144,20.8627,18.3982,17.6909,13.4243,13.2472,13.4717,40.2966,20.5709,31.058000000000003,28.1788,42.8565,41.304,34.5332,32.8505,52.4282,37.9279,39.1226,37.31800000000001
38,德赛电池,10.0975,9.9647,9.2554,8.919,9.7331,9.6078,9.2981,9.7084,9.8254,8.9412,8.7223,8.8006,7.5802,7.5928,8.1613,8.1983,7.3551,7.9932,8.6036,8.3611,7.0448,8.3377,8.765
39,深天马A,17.2968,16.4976,16.9848,16.3369,19.5061,19.8914,19.7788,20.1832,23.0537,22.1271,21.2266,20.8493,15.7457,15.3106,15.4589,15.1907,13.8943,15.5658,16.2779,16.8469,17.1665,19.3487,18.4662
40,方大集团,16.2985,18.2267,16.1671,14.8578,16.5813,17.648,18.5936,38.2671,31.1986,35.4583,33.1193,32.205,38.7488,35.1281,32.7323,23.3128,30.3101,25.2351,23.3673,27.8324,24.0229,22.4701,21.2183
42,皇庭国际,76.87100000000002,76.2516,73.8018,72.4808,72.2541,71.3396,70.6141,69.9248,80.539,76.0715,68.8274,67.0786,63.1633,63.9086,64.8074,63.2183,73.9326,70.6919,70.5067,70.0564,67.9821,70.6921,66.4976
43,深赛格,25.6085,15.2851,14.2913,16.6508,24.9494,11.4914,13.9975,13.9637,28.2695,27.971,27.8565,29.4154,31.5791,31.0088,31.1643,33.8399,35.7088,34.5409,34.056999999999995,34.0055,19.5927,36.6552,34.6001
45,农产品,45.262,51.4125,49.4684,48.5556,40.9333,41.418,39.326,34.9203,34.0754,34.0506,34.6884,37.7474,39.259,39.2523,39.4219,37.0658,34.063,36.0778,36.5251,36.1508,37.9668,38.5989,37.5504
46,深圳华强,48.7449,47.837,47.0096,33.8789,21.117,20.0216,19.0623,19.1587,19.6524,18.0818,17.0346,16.2031,16.2955,16.8458,16.3019,15.7426,13.3149,12.3813,11.5737,11.1551,10.0139,10.5865,9.8616
47,中兴通讯,35.3214,33.709,33.3549,31.0281,34.676,33.3623,31.6175,30.7533,32.1995,32.5174,31.636,31.0705,33.3387,30.2416,32.3033,32.9137,39.9719,39.207,38.3672,37.1716,39.3365,33.4349,32.1384
48,北方国际,8.8444,10.6472,9.3564,7.7367,9.5151,9.6129,9.6886,11.8693,9.8752,9.832,13.1428,13.788,18.8134,18.7653,16.4382,14.8075,16.4151,20.5777,16.3536,14.5183,8.6092,13.5677,14.9926
49,华控赛格,20.1426,19.2266,30.1009,37.8942,25.9345,30.6291,30.0733,42.4144,33.0711,37.9712,47.3965,42.81399999999999,30.0692,36.3624,33.9543,27.2818,13.1627,34.2673,28.5148,32.685,16.8318,30.1105,29.649
50,华侨城A,53.0397,51.8675,50.9755,53.1888,46.8968,45.8962,46.527,53.2583,45.5734,48.4795,49.6061,50.2523,63.6024,56.7215,60.8799,60.3492,62.2337,65.3795,62.5927,56.5828,64.78,54.8797,57.2112
51,特发信息,16.0292,16.6254,17.2848,18.249,14.946,15.7559,16.1816,17.3052,16.8781,16.6315,16.8557,16.6403,15.1179,15.2296,14.9288,16.2961,14.5397,15.2747,16.1232,17.9241,8.3218,14.762,17.0759
52,海王生物,12.8713,13.5857,13.4585,14.6455,12.3474,12.8081,12.935,14.8733,12.2903,12.9655,13.3331,14.4168,11.3019,12.5762,12.6241,13.1336,11.7265,12.772,13.055,13.3055,12.5998,12.6893,12.5137
53,盐田港,51.3053,51.971,54.0985,49.9951,56.2934,55.9649,55.3718,50.0883,47.2227,48.595,49.4368,45.3631,48.2754,49.176,51.0408,56.4122,37.8635,45.2429,47.0385,42.6919,23.3143,25.6255,30.978
54,天健集团,16.7311,21.4009,21.1943,21.1352,21.3007,20.021,22.4821,22.181,39.9202,35.1092,30.5422,26.0775,25.5507,19.8038,17.8166,21.6489,21.1442,19.9672,18.8448,23.3881,49.047,37.6514,32.2335
56,广聚能源,14.0592,12.8362,13.5857,13.8758,17.0244,18.6672,19.4099,18.7947,18.2224,15.0577,14.3167,13.83,9.3769,9.6321,9.3964,9.1704,9.3617,10.6198,10.9174,10.5623,7.8438,8.8448,9.8837
57,中信海直,28.0956,31.3628,34.5526,33.3389,18.9802,24.016,20.2415,19.1533,15.2712,14.6423,18.2307,19.8009,17.3705,22.3567,24.3496,23.8596,19.8411,25.6419,26.4598,25.6296,16.9412,21.1286,24.5122
58,TCL科技,17.8726,17.9426,16.9059,16.5392,14.9315,15.1069,16.2733,16.9088,18.216,20.8541,20.6735,20.536,19.4642,18.2871,17.7883,18.3085,17.4519,14.6739,12.9228,11.4715,7.2651,8.8375,10.68
59,宜华健康,26.7376,25.5455,26.0141,23.7002,31.5599,38.0715,36.4852,25.9157,33.1276,34.3173,34.7699,31.5223,42.282,38.5861,36.3248,31.1081,30.3847,23.5533,20.8646,18.2124,11.2124,13.3379,15.7978
60,中成股份,15.9842,23.1565,22.4461,19.472,17.2588,16.5367,16.9787,11.6183,12.8644,14.7958,13.4825,13.7902,12.1763,16.1558,15.7182,16.4179,13.2913,10.7262,13.701,27.4033,15.3821,11.8157,12.3691
61,丰原药业,26.7325,26.5109,26.4876,26.8675,26.0277,27.258000000000006,26.8779,26.6128,26.6201,27.2612,27.2282,30.5994,32.0443,35.0904,37.2352,38.9499,36.6848,35.8828,36.7456,38.155,36.4327,35.6935,35.1381
63,华数传媒,45.1567,45.6027,45.1994,44.2464,45.6653,45.2242,45.0646,44.8911,45.2164,44.382,44.9176,44.6559,41.3223,40.486,40.2348,40.6947,37.9886,38.9491,37.9174,37.0276,34.4066,35.1275,35.4136
64,中联重科,24.8975,23.924,25.4312,27.0192,26.4266,24.6943,25.4011,23.8623,26.6034,19.4749,21.4251,21.35,25.3292,25.5907,26.3683,27.0885,30.0092,29.9975,29.8187,30.0013,30.5555,29.3574,28.513
66,国际实业,11.2908,13.2429,12.8887,22.1708,13.3778,16.7158,17.3485,17.3172,14.7956,13.9072,9.4057,11.4508,13.1843,14.6485,19.9908,20.6606,27.6338,15.7838,9.7744,8.2201,17.4851,26.0184,12.6159
